restaurant_name,restaurant_rating,restaurant_review_count,restaurant_price,restaurant_cuisine,restaurant_promotion,restaurant_booked_times,restaurant_remaining_timeslots,restaurant_special_offers
"Cappadocia Restaurant, Bristol",4.7,(439),$$$$,• Turkish • Bristol,Promoted,Booked 48 times today You're in luck! We still have 4 timeslots left Top experience,Booked 48 times today You're in luck! We still have 4 timeslots left Top experience,Group Set Menu
Kibou Clifton,4.7,(27),$$$$,• Japanese • Clifton,Promoted,Booked 35 times today You're in luck! We still have 4 timeslots left,Booked 35 times today You're in luck! We still have 4 timeslots left,British Icons Set Menu
Côte Brasserie - Bristol Clifton,4.5,(120),$$$$,• French • Clifton,Promoted,Booked 41 times today,Booked 41 times today,British Icons Set Menu
Ivy Clifton Brasserie,4.5,(10214),$$$$,• Contemporary British • Clifton,Promoted,Booked 60 times today Top experience,Booked 60 times today Top experience,British Icons Set Menu
Pho Bristol,4.5,(345),$$$$,• Vietnamese • Bristol,Promoted,Booked 8 times today,Booked 8 times today,British Icons Set Menu
The Ox,4.7,(22),$$$$,• Steak • Bristol,Promoted,Booked 7 times today Top experience,Booked 7 times today Top experience,40% Off Food Summer Deal
Koocha Mezze Bar,4.7,(1488),$$$$,• Persian • Bristol,Promoted,Booked 15 times today,Booked 15 times today,British Icons Set Menu
Côte Brasserie - Bristol Quakers Friars,4.7,(39),$$$$,• French • Bristol,Promoted,Booked 10 times today,Booked 10 times today,British Icons Set Menu
Buenasado - Bristol,4.8,(507),$$$$,• Argentinean • Bristol,Promoted,Booked 8 times today,Booked 8 times today,British Icons Set Menu
"Milk Bun, Bristol",4.7,(524),$$$$,• Burgers • Bridgeyate,Promoted,Booked 6 times today,Booked 6 times today,British Icons Set Menu
Piccolino - Bristol,4.3,(158),$$$$,• Italian • Bristol,Promoted,Booked 8 times today,Booked 8 times today,British Icons Set Menu
The Ivy Bath Brasserie and Garden,4.3,(13165),$$$$,• Contemporary British • Bath,Promoted,Booked 93 times today Top experience,Booked 93 times today Top experience,British Icons Set Menu
The River Grille,4.4,(193),$$$$,• Contemporary European • Bristol,Promoted,Booked 4 times today,Booked 4 times today,British Icons Set Menu
The Hollybush,4.7,(1457),$$$$,• Gastro Pub • Bristol,Promoted,Booked 7 times today,Booked 7 times today,British Icons Set Menu
Keepers Kitchen & Bar.,3.600000000000001,(1),$$$$,• British • Bristol,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
COLOSSEO ITALIAN RESTAURANT,4.7,(437),$$$$,• Italian • Bath,Promoted,Booked 11 times today,Booked 11 times today,British Icons Set Menu
OPA Bath,4.4,(965),$$$$,• Greek • Bath,Promoted,Booked 5 times today Top experience,Booked 5 times today Top experience,Aegean Adventure 2-course £19.95
Côte Brasserie - Bath,4.5,(200),$$$$,• French • Bath,Promoted,Booked 31 times today,Booked 31 times today,British Icons Set Menu
"La Perla, Bath",4.6,(790),$$$$,• Tapas / Small Plates • Bath,Promoted,Booked 8 times today Top experience,Booked 8 times today Top experience,Trio Tapas Special
The Marlborough Tavern,4.5,(2101),$$$$,• Gastro Pub • Bath,Promoted,Booked 12 times today,Booked 12 times today,British Icons Set Menu
George Inn - Backwell,4.4,(421),$$$$,• Pub • Backwell,Promoted,Booked 5 times today,Booked 5 times today,British Icons Set Menu
"Slug and Lettuce Bristol, City Center",4.1,(1),$$$$,• International • Bristol,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Portofino Italian Restaurant,4.6,(267),$$$$,• Italian • Bath,Promoted,Booked 12 times today Top experience,Booked 12 times today Top experience,6 OYSTER & 2 GLASS OF PROSECCO FOR TWO ( 27£ )
Chez Dominique,4.8,(2933),$$$$,• French • Bath,Promoted,Booked 21 times today,Booked 21 times today,British Icons Set Menu
The Chequers - Bath,4.7,(2107),$$$$,• British • Bath,Promoted,Booked 16 times today You're in luck! We still have 3 timeslots left,Booked 16 times today You're in luck! We still have 3 timeslots left,British Icons Set Menu
"Carluccio's - Bristol, Cribbs Causeway",4.0,(365),$$$$,• Italian • Bristol,Promoted,Booked 2 times today,Booked 2 times today,British Icons Set Menu
Bristol Harbour Kitchen & Bar,4.0,(25),$$$$,• Contemporary British • Bristol,Promoted,You're in luck! We still have 2 timeslots left,You're in luck! We still have 2 timeslots left,British Icons Set Menu
Bill's Restaurant & Bar - Bath,4.4,(1755),$$$$,• British • Bath,Promoted,Booked 38 times today,Booked 38 times today,British Icons Set Menu
Cappadocia Turkish Restaurant,4.8,(1503),$$$$,• Turkish • Bath,Promoted,Booked 29 times today You're in luck! We still have 4 timeslots left Top experience,Booked 29 times today You're in luck! We still have 4 timeslots left Top experience,CAPPA NIGHT
Robun,4.2,(1073),$$$$,• Japanese • Bath,Promoted,Booked 14 times today,Booked 14 times today,British Icons Set Menu
Square Grill Brasserie & Piano Bar,4.6,(602),$$$$,• Grill • Bath,Promoted,Booked 14 times today Top experience,Booked 14 times today Top experience,Live Music Monday from 7pm
Sanremo The Italian Restaurant & Oyster Bar,4.5,(324),$$$$,• Italian • Bath,Promoted,Booked 9 times today,Booked 9 times today,British Icons Set Menu
Edesia Restaurant & Lounge,4.6,(327),$$$$,• South American • Bath,Promoted,Booked 15 times today Top experience,Booked 15 times today Top experience,£21.95 EVENING SET MENU
The Bath Arms,4.8,(781),$$$$,• Modern European • Cheddar,Promoted,Booked 12 times today,Booked 12 times today,British Icons Set Menu
The Birkett Tap,3.600000000000001,(2),$$$$,• Pub • Bristol,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
"The Ivy Asia, Cardiff",4.5,(3400),$$$$,• Asian • Cardiff,Promoted,Booked 86 times today Top experience,Booked 86 times today Top experience,Samurai Dinner Set Menu
The Three Daggers,4.4,(333),$$$$,• Pub • Westbury,Promoted,Booked 3 times today,Booked 3 times today,British Icons Set Menu
Antica Pulteney Bridge Restaurant,4.7,(506),$$$$,• Italian • Bath,Promoted,Booked 5 times today,Booked 5 times today,British Icons Set Menu
Côte Brasserie - Cardiff Central,4.4,(112),$$$$,• French • Cardiff,Promoted,Booked 21 times today,Booked 21 times today,British Icons Set Menu
Slug & Lettuce - Bristol - Harbourside,3.600000000000001,(7),$$$$,• International • Bristol,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Walkabout Bristol,3.600000000000001,(0),$$$$,• Australian • Bristol,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Green House Bristol,3.600000000000001,(4),$$$$,• British • Bristol,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
